"workload","core","samples","execution_time_mean","cycles_mean","instructions_mean","ipc_mean","cpi_mean","cache_miss_rate_mean"
"compress","0","1","1.06","2550000000","3310000000","1.298039","0.770393","0.066667"
"compress","1","1","1.02","2490000000","3250000000","1.305221","0.766154","0.065"
"db_query","0","1","1.63","4010000000","4950000000","1.234414","0.810101","0.072258"
"db_query","1","1","1.57","3880000000","4860000000","1.252577","0.798354","0.071523"
"fft","0","1","1.24","3120000000","4870000000","1.560897","0.640657","0.049231"
"fft","1","1","1.19","3010000000","4790000000","1.591362","0.628392","0.048819"
"matmul","0","1","2.91","7620000000","12200000000","1.60105","0.62459","0.074486"
"matmul","1","1","2.84","7440000000","11900000000","1.599462","0.62521","0.07395"
"sort","0","1","0.88","2110000000","2780000000","1.317536","0.758993","0.057143"
"sort","1","1","0.85","2050000000","2710000000","1.321951","0.756458","0.056667"
