"workload","core","samples","execution_time_mean","cycles_mean","instructions_mean","ipc_mean","cpi_mean","cache_miss_rate_mean","execution_time_mean_sq","execution_time_mean_sq_int","execution_time_mean_bin35","ipc_mean_sq","ipc_mean_sq_int","ipc_mean_bin35","cpi_mean_sq","cpi_mean_sq_int","cpi_mean_bin35","cache_miss_rate_mean_sq","cache_miss_rate_mean_sq_int","cache_miss_rate_mean_bin35"
"compress","0","1","1.06","2550000000","3310000000","1.298039","0.770393","0.066667","1.1236","1123600","533353353353533353333","1.684905245521","1684905","553355355353553535335","0.593505374449","593505","53353333555335533335","0.004444488889","4444","5333535355533"
"compress","1","1","1.02","2490000000","3250000000","1.305221","0.766154","0.065","1.0404","1040400","55555553333333353333","1.703601858841","1703602","553355555555353553353","0.586991951716","586992","53335555353355553333","0.004225","4225","5333353333335"
"db_query","0","1","1.63","4010000000","4950000000","1.234414","0.810101","0.072258","2.6569","2656900","5353335333535353333533","1.523777923396","1523778","535553533333335333353","0.656263630201","656264","53533333335553335333","0.005221218564","5221","5353335533535"
"db_query","1","1","1.57","3880000000","4860000000","1.252577","0.798354","0.071523","2.4649","2464900","5335355335553353333533","1.568949140929","1568949","535555555333353553535","0.637369109316","637369","53355355533553555335","0.005115539529","5116","5335555555533"
"fft","0","1","1.24","3120000000","4870000000","1.560897","0.640657","0.049231","1.5376","1537600","535553555355335333333","2.436399444609","2436399","5335353353553533535555","0.410441391649","410441","5533533335535335335","0.002423691361","2424","533535555333"
"fft","1","1","1.19","3010000000","4790000000","1.591362","0.628392","0.048819","1.4161","1416100","535355335535553533533","2.532433015044","2532433","5335535353353335353335","0.394876505664","394877","5533333355335555535","0.002383294761","2383","533535335555"
"matmul","0","1","2.91","7620000000","12200000000","1.60105","0.62459","0.074486","8.4681","8468100","533333353355355353333533","2.5633611025","2563361","5335553335553533533335","0.3901126681","390113","5355555335555533335","0.005548164196","5548","5353553535533"
"matmul","1","1","2.84","7440000000","11900000000","1.599462","0.62521","0.07395","8.0656","8065600","55553553335335335333333","2.558278689444","2558279","5335553333533535333555","0.3908875441","390888","5355555355355535333","0.0054686025","5469","5353535355535"
"sort","0","1","0.88","2110000000","2780000000","1.317536","0.758993","0.057143","0.7744","774400","53555535333533333333","1.735901111296","1735901","553533555553355355535","0.576070374049","576070","53335533535335333553","0.003265322449","3265","553355333335"
"sort","1","1","0.85","2050000000","2710000000","1.321951","0.756458","0.056667","0.7225","722500","53553333355335333533","1.747554446401","1747554","553535353535335533353","0.572228705764","572229","53335355535535333535","0.003211148889","3211","553353335355"
