workload,core,execution_time,cycles,instructions,cache_references,cache_misses
fft,0,1.24,3120000000,4870000000,130000000,6400000
fft,1,1.19,3010000000,4790000000,127000000,6200000
sort,0,0.88,2110000000,2780000000,91000000,5200000
sort,1,0.85,2050000000,2710000000,90000000,5100000
matmul,0,2.91,7620000000,12200000000,243000000,18100000
matmul,1,2.84,7440000000,11900000000,238000000,17600000
db_query,0,1.63,4010000000,4950000000,155000000,11200000
db_query,1,1.57,3880000000,4860000000,151000000,10800000
compress,0,1.06,2550000000,3310000000,102000000,6800000
compress,1,1.02,2490000000,3250000000,100000000,6500000
